"state","city","name","alternativeNames"
"AL","Rockford","Rockford - AL",
"AL","Rogersville","Rogersville - AL",
"AL","Russellville","Russellville - AL",
"AL","Rutledge","Rutledge - AL",
"AL","Safford","Safford - AL",
"AL","Saint Stephens","Saint Stephens - AL",
"AL","Salem","Salem - AL",
"AL","Salitpa","Salitpa - AL",
"AL","Samson","Samson - AL",
"AL","Saraland","Saraland - AL",
"AL","Sardis","Sardis - AL",
"AL","Satsuma","Satsuma - AL",
"AL","Sawyerville","Sawyerville - AL",
"AL","Seale","Seale - AL",
"AL","Section","Section - AL",
"AL","Selma","Selma - AL",
"AL","Seminole","Seminole - AL",
"AL","Semmes","Semmes - AL",
"AL","Sheffield","Sheffield - AL",
"AL","Shelby","Shelby - AL",
"AL","Shoal Creek","Shoal Creek - AL",
"AL","Shorter","Shorter - AL",
"AL","Shorterville","Shorterville - AL",
"AL","Silas","Silas - AL",
"AL","Silverhill","Silverhill - AL",
"AL","Skipperville","Skipperville - AL",
"AL","Slocomb","Slocomb - AL",
"AL","Smiths","Smiths - AL",
"AL","Snead","Snead - AL",
"AL","Somerville","Somerville - AL",
"AL","Southside","Southside - AL",
"AL","Spanish Fort","Spanish Fort - AL",
"AL","Springville","Springville - AL",
"AL","Sprott","Sprott - AL",
"AL","Spruce Pine","Spruce Pine - AL",
"AL","Stanton","Stanton - AL",
"AL","Steele","Steele - AL",
"AL","Sterrett","Sterrett - AL",
"AL","Stevenson","Stevenson - AL",
"AL","Stewart","Stewart - AL",
"AL","Stockton","Stockton - AL",
"AL","Sulligent","Sulligent - AL",
"AL","Sumiton","Sumiton - AL",
"AL","Summerdale","Summerdale - AL",
"AL","Sweet Water","Sweet Water - AL",
"AL","Sylacauga","Sylacauga - AL",
"AL","Sylvan Springs","Sylvan Springs - AL",
"AL","Sylvania","Sylvania - AL",
"AL","Talladega","Talladega - AL",
"AL","Tallassee","Tallassee - AL",
"AL","Tanner","Tanner - AL",
"AL","Taylor","Taylor - AL",
"AL","Theodore","Theodore - AL",
"AL","Thomaston","Thomaston - AL",
"AL","Thomasville","Thomasville - AL",
"AL","Thorsby","Thorsby - AL",
"AL","Tibbie","Tibbie - AL",
"AL","Titus","Titus - AL",
"AL","Toney","Toney - AL",
"AL","Town Creek","Town Creek - AL",
"AL","Townley","Townley - AL",
"AL","Toxey","Toxey - AL",
"AL","Trafford","Trafford - AL",
"AL","Trenton","Trenton - AL",
"AL","Triana","Triana - AL",
"AL","Trinity","Trinity - AL",
"AL","Troy","Troy - AL",
"AL","Trussville","Trussville - AL",
"AL","Tuscaloosa","Tuscaloosa - AL",
"AL","Tuscumbia","Tuscumbia - AL",
"AL","Tuskegee Institu","Tuskegee Institu - AL",
"AL","Tuskegee","Tuskegee - AL",
"AL","Union Grove","Union Grove - AL",
"AL","Union Springs","Union Springs - AL",
"AL","Uniontown","Uniontown - AL",
"AL","Uriah","Uriah - AL",
"AL","Valhermoso Sprin","Valhermoso Sprin - AL",
"AL","Valley Head","Valley Head - AL",
"AL","Valley","Valley - AL",
"AL","Vance","Vance - AL",
"AL","Vandiver","Vandiver - AL",
"AL","Verbena","Verbena - AL",
"AL","Vernon","Vernon - AL",
"AL","Vestavia Hills","Vestavia Hills - AL",
"AL","Vina","Vina - AL",
"AL","Vincent","Vincent - AL",
"AL","Vinegar Bend","Vinegar Bend - AL",
"AL","Vinemont","Vinemont - AL",
"AL","Vredenburgh","Vredenburgh - AL",
"AL","Wadley","Wadley - AL",
"AL","Wagarville","Wagarville - AL",
"AL","Walker Springs","Walker Springs - AL",
"AL","Ward","Ward - AL",
"AL","Warrior","Warrior - AL",
"AL","Waterloo","Waterloo - AL",
"AL","Waverly","Waverly - AL",
"AL","Weaver","Weaver - AL",
"AL","Webb","Webb - AL",
"AL","Wedowee","Wedowee - AL",
"AL","Wellington","Wellington - AL",
"AL","Weogufka","Weogufka - AL",
"AL","West Blocton","West Blocton - AL",
"AL","Wetumpka","Wetumpka - AL",
"AL","Whatley","Whatley - AL",
"AL","Wilmer","Wilmer - AL",
"AL","Wilsonville","Wilsonville - AL",
"AL","Winfield","Winfield - AL",
"AL","Wing","Wing - AL",
"AL","Woodland","Woodland - AL",
"AL","Woodstock","Woodstock - AL",
"AL","Woodville","Woodville - AL",
"AL","York","York - AL",
"AR","Adona","Adona - AR",
"AR","Agnos","Agnos - AR",
"AR","Alco","Alco - AR",
"AR","Alexander","Alexander - AR",
"AR","Alicia","Alicia - AR",
"AR","Alix","Alix - AR",
"AR","Alma","Alma - AR",
"AR","Almyra","Almyra - AR",
"AR","Alpena","Alpena - AR",
"AR","Altheimer","Altheimer - AR",
"AR","Altus","Altus - AR",
"AR","Amagon","Amagon - AR",
"AR","Amity","Amity - AR",
"AR","Antoine","Antoine - AR",
"AR","Arkadelphia","Arkadelphia - AR",
"AR","Arkansas City","Arkansas City - AR",
"AR","Armorel","Armorel - AR",
"AR","Ashdown","Ashdown - AR",
"AR","Atkins","Atkins - AR",
